226	Neu5Acα2-3Galβ1-3GlcNAcβ–Sp8
227	Neu5Acα2-3Galβ1-4[6OSO3]GlcNAcβ-Sp8
228	Neu5Acα2-3Galβ1-4(Fucα1-3)(6OSO3)GlcNAcβ–Sp8
229	Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp0
230	Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp0
231	Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAcβ–Sp8
232	Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ-Sp8
233	Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp8
234	Neu5Acα2-3Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAc-Sp0
235	Neu5Acα2-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ–Sp0
236	Neu5Acα2-3Galβ1-4GlcNAcβ–Sp0
237	Neu5Acα2-3Galβ1-4GlcNAcβ–Sp8
238	Neu5Acα2-3Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0
239	Neu5Acα2-3Galβ1-4Glcβ–Sp0
240	Neu5Acα2-3Galβ1-4Glcβ–Sp8
241	Galβ1-4GlcNAcβ1-2Manα1-3(Fucα1-3(Galβ1-4)GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp20
242	Neu5Acα2-6GalNAcα–Sp8
243	Neu5Acα2-6GalNAcβ1-4GlcNAcβ-Sp0
244	Neu5Acα2-6Galβ1-4[6OSO3]GlcNAcβ-Sp8
245	Neu5Acα2-6Galβ1-4GlcNAcβ–Sp0
246	Neu5Acα2-6Galβ1-4GlcNAcβ–Sp8
247	Neu5Acα2-6Galβ1-4GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0
248	Neu5Acα2-6Galβ1-4GlcNAcβ1-3Galβ1-4GlcNAcβ-Sp0
249	Neu5Acα2-6Galβ1-4Glcβ–Sp0
250	Neu5Acα2-6Galβ1-4Glcβ–Sp8
251	Neu5Acα2-6Galβ–Sp8
252	Neu5Acα2-8Neu5Acα-Sp8
253	Neu5Acα2-8Neu5Acα2-3Galβ1-4Glcβ–Sp0
254	Neu5Acβ2-6GalNAcα–Sp8
255	Neu5Acβ2-6Galβ1-4GlcNAcβ-Sp8
256	Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp21
257	Neu5Gca2-3Galβ1-3(Fucα1-4)GlcNAcβ-Sp0
258	Neu5Gca2-3Galβ1-3GlcNAcβ-Sp0
259	Neu5Gca2-3Galβ1-4(Fucα1-3)GlcNAcβ-Sp0
260	Neu5Gcα2-3Galβ1-4GlcNAcβ–Sp0
261	Neu5Gcα2-3Galβ1-4Glcβ–Sp0
262	Neu5Gcα2-6GalNAcα–Sp0
263	Neu5Gcα2-6Galβ1-4GlcNAcβ–Sp0
264	Neu5Gcα–Sp8
265	[3OSO3]Galβ1-4(Fucα1-3)(6OSO3)Glc-Sp0
266	[3OSO3]Galβ1-4(Fucα1-3)Glc-Sp0
267	[3OSO3]Galβ1-4[Fucα1-3][6OSO3]GlcNAc-Sp8 
268	[3OSO3]Galβ1-4[Fucα1-3]GlcNAc-Sp0 
269	Fucα1-2[6OSO3]Galβ1-4GlcNAc-Sp0
270	Fucα1-2Galβ1-4[6OSO3]GlcNAc-Sp8
271	Fucα1-2[6OSO3]Galβ1-4[6OSO3]Glc-Sp0
272	Fucα1-2-(6OSO3)-Galβ1-4Glc-Sp0
273	Fucα1-2-Galβ1-4[6OSO3]Glc-Sp0
274	Galβ1-3(Fucα1-4)GlcNAcβ1-3Galβ1-3(Fucα1-4)GlcNAcβ-Sp0
275	Galβ1-3-(Galβ1-4GlcNacβ1-6)GalNAc-Sp14
276	Galβ1-3(GlcNacβ1-6)GalNAc-Sp14
277	Galβ1-3-(Neu5Aa2-3Galβ1-4GlcNacβ1-6)GalNAc-Sp14
278	Galβ1-3GalNAc-Sp14
279	Galβ1-3GlcNAcβ1-3Galβ1-3GlcNAcβ-Sp0
280	Galβ1-4[Fucα1-3][6OSO3]GlcNAc-Sp0 
281	Galβ1-4[Fucα1-3][6OSO3]Glc-Sp0
282	Galβ1-4(Fucα1-3)GlcNAcβ1-3Galβ1-3(Fucα1-4)GlcNAcβ-Sp0
283	Galβ1-4GlcNAcβ1-3Galβ1-3GlcNAcβ-Sp0
284	Neu5Acα2-3Galβ1-3GlcNAcβ1-3Galβ1-3GlcNAcβ-Sp0
285	Neu5Acα2-3Galβ1-4GlcNAcβ1-3Galβ1-3GlcNAcβ-Sp0
286	[3OSO3]Galβ1-4[6OSO3]GlcNAcβ-Sp0
287	[3OSO3][4OSO3]Galβ1-4GlcNacβ-SpSp0
288	[6OSO3]Galβ1-4[6OSO3]GlcNacβ-Sp0
289	6-H2PO3Glcβ-Sp10
290	Galα1-3(Fucα1-2)Galβ–Sp18
291	Galα1-3GalNAcα-Sp16
292	Galβ1-3GalNAcα-Sp16
293	Galβ1-3(Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAcβ1-6)GalNAc–Sp14
294	Galβ1-3Galβ1-4GlcNAcβ-Sp8
295	Galβ1-4GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
296	Galβ1-4GlcNAcβ1-3(Galβ1-4GlcNAcβ1-6)Galβ1-4GlcNAc-Sp0
297	Galβ1-4GlcNAcβ1-3(GlcNAcβ1-6)Galβ1-4GlcNAc-Sp0
298	Galβ1-4GlcNAcα1-6Galβ1-4GlcNAcβ-Sp0
299	Galβ1-4GlcNAcβ1-6Galβ1-4GlcNAcβ-Sp0
300	GalNAcα-Sp15
301	GalNAcα1-3(Fucα1-2)Galβ–Sp18
302	GalNAcβ1-3Galβ-Sp8
303	GlcAβ1-3GlcNAcβ-Sp8
304	GlcNAcβ1-2Manα1-3(Neu5Acα2-6Galβ1-4GlcNAcβ1-2Manα1-6)Manβ1-4GlcNAcβ1-4GlcNAcβ-Sp12
